PC  Teal                                                            Stack
1   #pragma version 8
229 frame_dig 0                                                     1, 7, 11, 1, 2, 7, 7, 1
231 frame_dig 3                                                     1, 7, 11, 1, 2, 7, 7, 1, 7
233 int 0                                                           1, 7, 11, 1, 2, 7, 7, 1, 7, 0
234 >                                                               1, 7, 11, 1, 2, 7, 7, 1, 1
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 1, 2, 7, 7, 1
238 frame_dig 3                                                     1, 7, 11, 1, 2, 7, 7, 1, 7
240 int 1                                                           1, 7, 11, 1, 2, 7, 7, 1, 7, 1
241 -                                                               1, 7, 11, 1, 2, 7, 7, 1, 6
242 frame_bury 3                                                    1, 7, 11, 1, 2, 7, 6, 1
244 frame_dig 1                                                     1, 7, 11, 1, 2, 7, 6, 1, 2
246 frame_bury 0                                                    1, 7, 11, 2, 2, 7, 6, 1
248 frame_bury 1                                                    1, 7, 11, 2, 1, 7, 6
250 b test_swap_loop_while_top@3                                    1, 7, 11, 2, 1, 7, 6
229 frame_dig 0                                                     1, 7, 11, 2, 1, 7, 6, 2
231 frame_dig 3                                                     1, 7, 11, 2, 1, 7, 6, 2, 6
233 int 0                                                           1, 7, 11, 2, 1, 7, 6, 2, 6, 0
234 >                                                               1, 7, 11, 2, 1, 7, 6, 2, 1
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 2, 1, 7, 6, 2
238 frame_dig 3                                                     1, 7, 11, 2, 1, 7, 6, 2, 6
240 int 1                                                           1, 7, 11, 2, 1, 7, 6, 2, 6, 1
241 -                                                               1, 7, 11, 2, 1, 7, 6, 2, 5
242 frame_bury 3                                                    1, 7, 11, 2, 1, 7, 5, 2
244 frame_dig 1                                                     1, 7, 11, 2, 1, 7, 5, 2, 1
246 frame_bury 0                                                    1, 7, 11, 1, 1, 7, 5, 2
248 frame_bury 1                                                    1, 7, 11, 1, 2, 7, 5
250 b test_swap_loop_while_top@3                                    1, 7, 11, 1, 2, 7, 5
229 frame_dig 0                                                     1, 7, 11, 1, 2, 7, 5, 1
231 frame_dig 3                                                     1, 7, 11, 1, 2, 7, 5, 1, 5
233 int 0                                                           1, 7, 11, 1, 2, 7, 5, 1, 5, 0
234 >                                                               1, 7, 11, 1, 2, 7, 5, 1, 1
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 1, 2, 7, 5, 1
238 frame_dig 3                                                     1, 7, 11, 1, 2, 7, 5, 1, 5
240 int 1                                                           1, 7, 11, 1, 2, 7, 5, 1, 5, 1
241 -                                                               1, 7, 11, 1, 2, 7, 5, 1, 4
242 frame_bury 3                                                    1, 7, 11, 1, 2, 7, 4, 1
244 frame_dig 1                                                     1, 7, 11, 1, 2, 7, 4, 1, 2
246 frame_bury 0                                                    1, 7, 11, 2, 2, 7, 4, 1
248 frame_bury 1                                                    1, 7, 11, 2, 1, 7, 4
250 b test_swap_loop_while_top@3                                    1, 7, 11, 2, 1, 7, 4
229 frame_dig 0                                                     1, 7, 11, 2, 1, 7, 4, 2
231 frame_dig 3                                                     1, 7, 11, 2, 1, 7, 4, 2, 4
233 int 0                                                           1, 7, 11, 2, 1, 7, 4, 2, 4, 0
234 >                                                               1, 7, 11, 2, 1, 7, 4, 2, 1
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 2, 1, 7, 4, 2
238 frame_dig 3                                                     1, 7, 11, 2, 1, 7, 4, 2, 4
240 int 1                                                           1, 7, 11, 2, 1, 7, 4, 2, 4, 1
241 -                                                               1, 7, 11, 2, 1, 7, 4, 2, 3
242 frame_bury 3                                                    1, 7, 11, 2, 1, 7, 3, 2
244 frame_dig 1                                                     1, 7, 11, 2, 1, 7, 3, 2, 1
246 frame_bury 0                                                    1, 7, 11, 1, 1, 7, 3, 2
248 frame_bury 1                                                    1, 7, 11, 1, 2, 7, 3
250 b test_swap_loop_while_top@3                                    1, 7, 11, 1, 2, 7, 3
229 frame_dig 0                                                     1, 7, 11, 1, 2, 7, 3, 1
231 frame_dig 3                                                     1, 7, 11, 1, 2, 7, 3, 1, 3
233 int 0                                                           1, 7, 11, 1, 2, 7, 3, 1, 3, 0
234 >                                                               1, 7, 11, 1, 2, 7, 3, 1, 1
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 1, 2, 7, 3, 1
238 frame_dig 3                                                     1, 7, 11, 1, 2, 7, 3, 1, 3
240 int 1                                                           1, 7, 11, 1, 2, 7, 3, 1, 3, 1
241 -                                                               1, 7, 11, 1, 2, 7, 3, 1, 2
242 frame_bury 3                                                    1, 7, 11, 1, 2, 7, 2, 1
244 frame_dig 1                                                     1, 7, 11, 1, 2, 7, 2, 1, 2
246 frame_bury 0                                                    1, 7, 11, 2, 2, 7, 2, 1
248 frame_bury 1                                                    1, 7, 11, 2, 1, 7, 2
250 b test_swap_loop_while_top@3                                    1, 7, 11, 2, 1, 7, 2
229 frame_dig 0                                                     1, 7, 11, 2, 1, 7, 2, 2
231 frame_dig 3                                                     1, 7, 11, 2, 1, 7, 2, 2, 2
233 int 0                                                           1, 7, 11, 2, 1, 7, 2, 2, 2, 0
234 >                                                               1, 7, 11, 2, 1, 7, 2, 2, 1
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 2, 1, 7, 2, 2
238 frame_dig 3                                                     1, 7, 11, 2, 1, 7, 2, 2, 2
240 int 1                                                           1, 7, 11, 2, 1, 7, 2, 2, 2, 1
241 -                                                               1, 7, 11, 2, 1, 7, 2, 2, 1
242 frame_bury 3                                                    1, 7, 11, 2, 1, 7, 1, 2
